dataset,model,sensitive,compression,seed,group,n,selection_rate,mean_entropy,mean_variance,mutual_information,ece,selection_disparity,entropy_disparity,variance_disparity,mi_disparity,ece_disparity,spearman_entropy_ece,spearman_mi_ece,spearman_entropy_selection,config_hash,python,versions
adult,logreg,race,none,2,White,10442,0.20542,0.336659,0.00095,0.002721,0.009974,0.216468,0.111799,0.000638,0.001375,0.055702,-0.4,-0.1,0.6,cfdf4fa27aab,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,2,Amer-Indian-Eskimo,112,0.044643,0.27331,0.000601,0.0018,0.05461,0.194246,0.108846,0.000649,0.001338,0.055713,-0.4,-0.1,0.6,1e302622f90c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,2,Asian-Pac-Islander,360,0.238889,0.313025,0.001083,0.002863,0.031105,0.194246,0.108846,0.000649,0.001338,0.055713,-0.4,-0.1,0.6,1e302622f90c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,2,Black,1198,0.089316,0.227498,0.000434,0.001525,0.015541,0.194246,0.108846,0.000649,0.001338,0.055713,-0.4,-0.1,0.6,1e302622f90c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,2,Other,99,0.131313,0.249133,0.000782,0.002371,0.063898,0.194246,0.108846,0.000649,0.001338,0.055713,-0.4,-0.1,0.6,1e302622f90c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.5,2,White,10442,0.200441,0.336344,0.000943,0.002715,0.008186,0.194246,0.108846,0.000649,0.001338,0.055713,-0.4,-0.1,0.6,1e302622f90c,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,2,Amer-Indian-Eskimo,112,0.017857,0.28323,0.00045,0.001481,0.043266,0.121032,0.106843,0.000626,0.001455,0.022169,0.1,-0.1,0.8,e121af25d459,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,2,Asian-Pac-Islander,360,0.138889,0.335233,0.001076,0.002937,0.042868,0.121032,0.106843,0.000626,0.001455,0.022169,0.1,-0.1,0.8,e121af25d459,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,2,Black,1198,0.053422,0.24672,0.000478,0.001619,0.023644,0.121032,0.106843,0.000626,0.001455,0.022169,0.1,-0.1,0.8,e121af25d459,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,2,Other,99,0.10101,0.303116,0.000842,0.002406,0.045813,0.121032,0.106843,0.000626,0.001455,0.022169,0.1,-0.1,0.8,e121af25d459,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
