dataset,model,sensitive,compression,metric,n_pairs,mean_diff,std_diff,ci_lo,ci_hi,t_stat,p_value,cohens_dz,ci_excludes_zero
compas,logreg,sex,int8,disparate_impact_ratio,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,sex,int8,accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,sex,int8,balanced_accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,sex,int8,positive_prediction_rate,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,sex,prune:0.3,demographic_parity_difference,10,-0.000854,0.004231,-0.003881,0.002172,-0.638595,0.538995,-0.201941,False
compas,logreg,sex,prune:0.3,equalized_odds_difference,10,0.000323,0.009102,-0.006188,0.006834,0.112255,0.913085,0.035498,False
compas,logreg,sex,prune:0.3,disparate_impact_ratio,10,0.003701,0.009866,-0.003357,0.010759,1.186324,0.265866,0.375149,False
compas,logreg,sex,prune:0.3,accuracy,10,0.000907,0.001651,-0.000274,0.002088,1.738182,0.116183,0.549662,False
compas,logreg,sex,prune:0.3,balanced_accuracy,10,0.001068,0.001869,-0.000269,0.002405,1.806469,0.104317,0.571256,False
compas,logreg,sex,prune:0.3,positive_prediction_rate,10,0.001685,0.0049,-0.00182,0.00519,1.08745,0.305101,0.343882,False
compas,logreg,sex,prune:0.3,mean_ece_per_group,10,-0.0007,0.002151,-0.002239,0.000838,-1.029846,0.329963,-0.325666,False
compas,logreg,sex,prune:0.3,ece_disparity,10,-0.002793,0.005418,-0.006669,0.001083,-1.630096,0.13752,-0.515482,False
compas,logreg,sex,prune:0.5,demographic_parity_difference,10,-0.006151,0.01245,-0.015057,0.002755,-1.562281,0.152657,-0.494037,False
compas,logreg,sex,prune:0.5,equalized_odds_difference,10,-0.00658,0.022518,-0.022688,0.009528,-0.924057,0.379565,-0.292213,False
compas,logreg,sex,prune:0.5,disparate_impact_ratio,10,0.015146,0.029963,-0.006288,0.036581,1.598567,0.144381,0.505511,False
compas,logreg,sex,prune:0.5,accuracy,10,6.5e-05,0.003268,-0.002273,0.002403,0.062695,0.95138,0.019826,False
