dataset,model,sensitive,sparsity,seed,binning,n_bins,mean_ece_per_group,ece_disparity,min_group_ece,max_group_ece,n_groups_scored,mean_confidence,std_confidence,n_distinct_confidence,python,versions
adult,mlp,sex,0.7,3,equal_mass,15,0.042028,0.030563,0.026747,0.05731,2,0.83702,0.171815,9376,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,4,equal_width,10,0.122445,0.048228,0.098331,0.146559,2,0.800928,0.174602,10689,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,4,equal_width,15,0.122445,0.048228,0.098331,0.146559,2,0.800928,0.174602,10689,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,4,equal_mass,10,0.122665,0.050098,0.097616,0.147714,2,0.800928,0.174602,10689,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,4,equal_mass,15,0.12323,0.048966,0.098747,0.147714,2,0.800928,0.174602,10689,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,0,equal_width,10,0.320297,0.184827,0.227883,0.41271,2,0.528689,0.075382,2162,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,0,equal_width,15,0.320297,0.184827,0.227883,0.41271,2,0.528689,0.075382,2162,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,0,equal_mass,10,0.320297,0.184827,0.227883,0.41271,2,0.528689,0.075382,2162,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,0,equal_mass,15,0.320297,0.184827,0.227883,0.41271,2,0.528689,0.075382,2162,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,1,equal_width,10,0.341726,0.098064,0.292694,0.390758,2,0.666743,0.092903,3011,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,1,equal_width,15,0.343641,0.101081,0.2931,0.394181,2,0.666743,0.092903,3011,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,1,equal_mass,10,0.332423,0.084886,0.28998,0.374866,2,0.666743,0.092903,3011,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,1,equal_mass,15,0.337438,0.094916,0.28998,0.384896,2,0.666743,0.092903,3011,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.9,2,equal_width,10,0.406651,0.19408,0.309611,0.503691,2,0.611987,0.013195,81,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
