dataset,model,sensitive,compression,demographic_parity_difference_mean,demographic_parity_difference_std,equalized_odds_difference_mean,equalized_odds_difference_std,disparate_impact_ratio_mean,disparate_impact_ratio_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,positive_prediction_rate_mean,positive_prediction_rate_std,mean_predicted_prob_mean,mean_predicted_prob_std,std_predicted_prob_mean,std_predicted_prob_std,mean_group_predictive_entropy_mean,mean_group_predictive_entropy_std,mean_group_predictive_variance_mean,mean_group_predictive_variance_std,mean_group_mutual_information_mean,mean_group_mutual_information_std,mean_ece_per_group_mean,mean_ece_per_group_std,entropy_disparity_mean,entropy_disparity_std,variance_disparity_mean,variance_disparity_std,mi_disparity_mean,mi_disparity_std,ece_disparity_mean,ece_disparity_std,selective_fairness_auc_mean,selective_fairness_auc_std,n_params_mean,n_params_std,flops_mean,flops_std,peak_ram_bytes_mean,peak_ram_bytes_std,n_seeds,skip_reason
adult,mlp,sex,int8,0.1715439,0.01352466461650302,0.0852955,0.017400894678467286,0.3675568,0.029638528621448886,0.8368027,0.002329296414990756,0.7579688,0.008549878099195989,0.21429840000000003,0.011397135373027346,0.23840560000000002,0.008811808720877536,0.3243577,0.007285817090606767,,,,,,,,,,,,,,,,,,,4353.0,0.0,53154483.0,0.0,13278432.0,0.0,10,
adult,mlp,sex,none,0.1719277,0.013981592661225844,0.0859081,0.01621893741861313,0.3645166,0.0275534814585905,0.8377363000000001,0.0024078824745222384,0.7585588999999999,0.0077865003471107395,0.2133324,0.009203698099737466,0.2372256,0.007184832143713125,0.32389330000000005,0.005913316667582681,0.2614424,0.01679761859576794,0.0196435,0.00343240308595078,0.0572191,0.00972941729955545,0.027251900000000003,0.006119302691756091,0.1548475,0.009459216977812344,0.0080976,0.004186381391554711,0.0180821,0.011485924530581865,0.023078500000000002,0.0036452276639768635,0.10740430000000001,0.021518715699233644,4353.0,0.0,53154483.0,0.0,6253190.6,17.076299364916522,10,
adult,mlp,sex,prune:0.3,0.1745804,0.091322943775495,0.1322945,0.06383920049494146,0.6114606,0.1457978105202163,0.6583573,0.10598608888596864,0.6803229,0.07413262357341589,0.44810419999999995,0.2338011961022536,0.44122760000000005,0.21697692967236043,0.3475988,0.10265587251135058,0.2889971,0.08859819778760238,0.022549,0.00875237142468003,0.0655855,0.023710650908399793,0.195017,0.10754456586095933,0.0534984,0.045062766131006404,0.0059381,0.004758651780354039,0.0167263,0.013754913514409637,0.0693284,0.03969438045366119,0.176165,0.09615379966375627,4353.0,0.0,53154483.0,0.0,6253185.2,22.768399153135295,10,
adult,mlp,sex,prune:0.5,0.13094820000000001,0.07278637645695335,0.1167019,0.05925060817024957,0.6590764,0.2660767334874994,0.6493407,0.0998632591898097,0.6372983,0.06227122135741714,0.40531490000000003,0.22891341085535669,0.4018892,0.20624424028579966,0.3262695,0.09752332829095017,0.3053621,0.10646572793934936,0.017810100000000002,0.007314621376242093,0.0515065,0.019804479780819513,0.1949545,0.09995493073853057,0.0648928,0.05907766833546798,0.0054854,0.0041198017805607,0.015449200000000001,0.010984459333278285,0.0697847,0.047230763959874,0.1294091,0.07917930996647211,4353.0,0.0,53154483.0,0.0,6253190.6,17.076299364957425,10,
adult,mlp,sex,prune:0.7,0.0865317,0.06226206214247432,0.08503279999999999,0.049775840330648594,0.7911052,0.15797329112564146,0.5456636,0.15259230240830193,0.5807648999999999,0.06845128121915944,0.5252068,0.2730735708932667,0.4935128000000001,0.18633495130472258,0.2908287,0.04107289528265569,0.42347140000000005,0.08186032407460893,0.0106645,0.0034481619338746585,0.0304597,0.009231476107439277,0.2457681,0.1323800824632954,0.0583664,0.049085806659132925,0.0026421,0.001701180665172149,0.0070673,0.004568827738052728,0.056631799999999996,0.04259560079736978,0.0773037,0.061418987379130395,4353.0,0.0,53154483.0,0.0,6253179.8,26.0844781431154,10,
adult,mlp,sex,prune:0.9,0.0154543,0.028261204661160503,0.028654399999999997,0.06306611815864363,0.8635934000000001,0.2136940011247651,0.49781339999999996,0.2543611260992703,0.5046383,0.011035684422716033,0.5106708,0.48811475324941095,0.4994099,0.10546632437939611,0.0814218,0.06526081341101005,0.6495642,0.038329070750831175,0.0013580999999999999,0.001743174145058376,0.0036899000000000003,0.004972395319271298,0.281802,0.10522561126350265,0.011095299999999999,0.01897461390062464,0.0003281,0.0003738726610313553,0.0008786999999999999,0.0009400509501558353,0.1642736,0.044286921982805615,0.0194153,0.03619187122069755,4353.0,0.0,53154483.0,0.0,6253185.2,22.768399153234146,10,
adult,prevalence,race,none,0.0,0.0,0.0,0.0,1.0,0.0,0.760708,0.0,0.5,0.0,0.0,0.0,0.23927800000000002,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,12211.0,0.0,98090.0,0.0,10,
adult,prevalence,sex,none,0.0,0.0,0.0,0.0,1.0,0.0,0.760708,0.0,0.5,0.0,0.0,0.0,0.23927800000000002,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,12211.0,0.0,98090.0,0.0,10,
adult,tree,race,int8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"NotImplementedError: quantize_int8 supports sklearn LogisticRegression and MLPClassifier; got 'DecisionTreeClassifier'. For other sklearn families, wrap the model in ONNX manually."
adult,tree,race,none,0.14076470000000002,0.018461224246451746,0.2076482,0.06152188306394184,0.4665712,0.07110903887817482,0.8159117,0.003581459387518498,0.7495507,0.005705197748057851,0.2426091,0.0027229025546688652,0.2426583,0.0027023967160857637,0.42865089999999995,0.001633055176995284,,,,,,,,,,,,,,,,,,,10723.2,136.9296656438385,130940995.2,1672048.14717691,5325069.0,28.46049894148678,10,
