dataset,model,sensitive,compression,group,top_k,top_features,top_importances,seed,config_hash,python,versions
compas,logreg,sex,prune:0.9,Male,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,2,653fe6b599ed,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,Female,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,2,653fe6b599ed,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,African-American,3,priors_count|age|juv_other_count,0.132922|0.083708|0.012573,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Caucasian,3,age|priors_count|juv_other_count,0.095026|0.089841|0.011671,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Other,3,priors_count|age|juv_other_count,0.096028|0.079016|0.014316,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Hispanic,3,priors_count|age|juv_other_count,0.101487|0.082454|0.009651,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Asian,3,priors_count|age|juv_other_count,0.120407|0.108524|0.015300,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,Native American,3,priors_count|age|juv_other_count,0.254039|0.061402|0.025035,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,African-American,3,priors_count|age|juv_other_count,0.133384|0.083883|0.012636,2,8af9f83e4086,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Caucasian,3,age|priors_count|juv_other_count,0.095177|0.090016|0.011683,2,8af9f83e4086,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
